"D-Street Buzz: IT stocks surge up to 10%; Infosys, Tech Mahindra, TCS shine",https://www.moneycontrol.com/news/buzzing-stocks/d-street-buzz-it-stocks-surgeto-10-infosys-tech-mahindra-tcs-shine_13607001.html,24 Mar 2020,10.19 am
Infosys completes acquisition of Simplus,https://www.moneycontrol.com/news/business/infosys-completes-acquisitionsimplus_13579121.html,13 Mar 2020,9.35 pm
"Coronavirus: Over 20 lakh employees to work from home, but is India Inc ready?",https://www.moneycontrol.com/news/business/coronavirus-over-20-lakh-employees-to-workhomeis-india-inc-ready_13578301.html,13 Mar 2020,5.26 pm
"Stocks in the news: Infosys, Granules India, Zensar, Biocon, Adani Gas, ABB",https://www.moneycontrol.com/news/stocksnews/stocksthe-news-infosys-granules-india-zensar-biocon-adani-gas-abb_13568181.html,11 Mar 2020,7.39 am
Infosys sacks 3 employees arrested on charges of bribery,https://www.moneycontrol.com/news/business/infosys-sacks-3-employees-arrestedchargesbribery_13566161.html,09 Mar 2020,7.26 pm
"GSTN glitch: Infosys asked to submit resolution plan in 15 days, Nandan Nilekani to make presentation",https://www.moneycontrol.com/news/business/gstn-glitch-infosys-asked-to-submit-resolution-plan15-days-nandan-nilekani-to-make-presentation_13565301.html,09 Mar 2020,2.50 pm
Infosys share price rises order on order win,https://www.moneycontrol.com/news/buzzing-stocks/infosys-share-price-rises-orderorder-win_13549441.html,04 Mar 2020,9.32 am
"Market Headstart: Nifty likely to remain volatile, global cues to dictate the trend",https://www.moneycontrol.com/news/local-markets/market-headstart-nifty-likely-to-remain-volatile-global-cues-to-dictatetrend_13549261.html,04 Mar 2020,8.36 am
"Stocks in the news: Infosys, Tata Motors, Bharti Airtel, Vedanta, Max Financial, NBCC, HFCL",https://www.moneycontrol.com/news/buzzing-stocks/stocksthe-news-infosys-tata-motors-bharti-airtel-vedanta-max-financial-nbcc-hfcl_13548961.html,04 Mar 2020,7.52 am
Trade Setup for Wednesday: Top 14 things to know before Opening Bell,https://www.moneycontrol.com/news/market-cues/trade-setup-for-wednesday-top-14-things-to-know-before-opening-bell_13548541.html,03 Mar 2020,9.06 pm
Infosys inks strategic long-term partnership with K S AG,https://www.moneycontrol.com/news/business/infosys-inks-strategic-long-term-partnershipk-s-ag_13547461.html,03 Mar 2020,4.45 pm
Infosys share price gains as company collaborates with IBM,https://www.moneycontrol.com/news/buzzing-stocks/infosys-share-price-gains-as-company-collaboratesibm_13546861.html,03 Mar 2020,3.05 pm
Infosys joins hands with IBM to launch industry-specific cloud services for businesses,https://www.moneycontrol.com/news/business/infosys-joins-handsibm-to-launch-industry-specific-cloud-services-for-businesses_13544501.html,03 Mar 2020,7.21 am
Infosys pays Rs 6 lakh in compounding fees to settle ex-CFO severance payment row,https://www.moneycontrol.com/news/business/infosys-pays-rs-6-lakhcompounding-fees-to-settle-ex-cfo-severance-payment-row_13544481.html,02 Mar 2020,10.46 pm
